"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"54511099999","2023-01-01","40.080111","116.584556","35.35","BEIJING CAPITAL INTERNATIONAL AIRPORT, CH","  28.8","24","   5.6","24","9999.9"," 0","999.9"," 0","  6.6","24","  5.9","24"," 11.7","999.9","  45.9"," ","  14.0","*"," 0.00","G","999.9","000000"
"54511099999","2023-01-02","40.080111","116.584556","35.35","BEIJING CAPITAL INTERNATIONAL AIRPORT, CH","  23.3","24","   0.6","24","9999.9"," 0","999.9"," 0","  6.7","24","  5.4","24","  9.7","999.9","  40.3"," ","  12.2","*"," 0.00","G","999.9","000000"
"54511099999","2023-01-03","40.080111","116.584556","35.35","BEIJING CAPITAL INTERNATIONAL AIRPORT, CH","  21.7","24","   3.4","24","9999.9"," 0","999.9"," 0","  6.7","24","  3.2","24","  7.8","999.9","  38.5"," ","  10.4","*"," 0.00","G","999.9","000000"
"54511099999","2023-01-04","40.080111","116.584556","35.35","BEIJING CAPITAL INTERNATIONAL AIRPORT, CH","  24.0","24","   8.7","24","9999.9"," 0","999.9"," 0","  6.3","24","  2.5","24","  5.8","999.9","  41.7"," ","  10.4","*"," 0.00","G","999.9","000000"
"54511099999","2023-01-05","40.080111","116.584556","35.35","BEIJING CAPITAL INTERNATIONAL AIRPORT, CH","  26.0","24","  13.9","24","9999.9"," 0","999.9"," 0","  5.0","24","  2.7","24","  9.7","999.9","  41.7"," ","  12.2","*"," 0.00","G","999.9","000000"
"54511099999","2023-01-06","40.080111","116.584556","35.35","BEIJING CAPITAL INTERNATIONAL AIRPORT, CH","  30.8","24","   8.9","24","9999.9"," 0","999.9"," 0","  5.5","24","  5.9","24"," 21.4"," 31.1","  48.6"," ","  14.0","*"," 0.00","G","999.9","000000"
"54511099999","2023-01-07","40.080111","116.584556","35.35","BEIJING CAPITAL INTERNATIONAL AIRPORT, CH","  28.3","24","   9.4","24","9999.9"," 0","999.9"," 0","  6.2","24","  2.7","24","  5.8","999.9","  48.6"," ","  19.4","*"," 0.00","G","999.9","000000"
"54511099999","2023-01-08","40.080111","116.584556","35.35","BEIJING CAPITAL INTERNATIONAL AIRPORT, CH","  40.8","24","   7.2","24","9999.9"," 0","999.9"," 0","  6.2","24","  6.0","24","  9.7","999.9","  54.0"," ","  21.2","*"," 0.00","G","999.9","000000"
"54511099999","2023-01-09","40.080111","116.584556","35.35","BEIJING CAPITAL INTERNATIONAL AIRPORT, CH","  34.7","24","   9.3","24","9999.9"," 0","999.9"," 0","  6.4","24","  3.6","24","  5.8","999.9","  54.0"," ","  17.6","*"," 0.00","G","999.9","000000"
"54511099999","2023-01-10","40.080111","116.584556","35.35","BEIJING CAPITAL INTERNATIONAL AIRPORT, CH","  26.6","24","  14.4","24","9999.9"," 0","999.9"," 0","  6.2","24","  2.3","24","  5.8","999.9","  47.8"," ","  15.8","*"," 0.00","G","999.9","000000"
